1872 3
0 1 2
3 1 0
4 5 6
7 8 9
5 4 10
8 7 11
12 13 14
4 6 15
7 9 16
17 18 19
20 21 22
23 18 24
25 4 15
26 7 16
18 27 19
21 28 22
29 0 2
12 24 30
24 18 30
13 12 30
24 12 31
4 32 33
7 34 3
25 35 4
26 36 7
37 23 24
23 27 18
38 28 21
34 24 31
35 32 4
4 33 10
7 3 11
32 39 40
36 34 7
40 39 41
35 39 32
36 37 34
34 37 24
13 42 14
29 43 0
44 40 1
33 12 14
39 38 41
33 44 12
1 3 45
44 1 31
33 32 44
44 32 40
46 26 16
47 25 15
28 48 22
27 49 19
12 44 31
34 31 45
21 29 2
1 40 2
50 51 5
52 50 53
54 55 43
56 52 42
55 57 58
57 59 8
51 60 6
21 20 29
59 61 9
18 17 13
62 63 20
64 65 17
21 2 41
3 34 45
33 14 10
43 29 66
42 13 67
50 5 53
42 52 53
29 20 66
43 55 58
57 8 58
13 17 67
3 0 11
63 54 66
5 51 6
65 56 67
8 59 9
42 53 14
43 58 0
18 13 30
31 1 45
54 43 66
56 42 67
20 63 66
6 60 15
17 65 67
9 61 16
62 20 22
64 17 19
48 62 22
49 64 19
61 46 16
60 47 15
38 21 41
2 40 41
53 5 10
14 53 10
58 8 11
0 58 11
68 69 70
71 72 68
72 71 73
74 75 76
75 77 76
78 79 80
69 68 81
69 82 70
83 84 85
84 83 86
75 87 88
87 75 74
89 90 91
92 93 73
94 89 91
84 95 85
79 78 96
97 92 73
95 84 98
79 99 80
83 100 86
100 83 101
97 87 92
94 952 89
952 94 936
68 72 81
77 950 76
87 97 88
105 72 73
106 107 108
109 108 110
106 108 109
950 77 111
107 106 112
113 114 112
115 109 110
116 117 118
106 113 112
119 120 112
120 119 116
121 68 70
120 116 118
114 119 112
937 123 124
125 126 127
117 116 123
123 116 124
127 126 78
128 127 78
101 129 91
938 951 132
133 121 70
939 122 134
126 135 136
137 138 139
122 132 134
140 125 127
120 107 112
141 940 143
138 137 144
145 137 139
146 145 139
108 147 82
122 938 132
121 71 68
133 148 121
149 150 135
951 138 132
151 128 152
151 153 128
135 150 136
154 148 133
155 156 75
157 158 159
160 161 93
150 159 136
125 135 126
162 133 147
