model,module,status,valid,within_5_percent,feedback_baseline_fallback,module_record,baseline_record,module_quads,baseline_quads,module_deficit,baseline_deficit,module_rms,baseline_rms,common_positive_regression,newly_deficient_edges
B49,size_only,baseline_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B49__none__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B49__none__uniform_1/result.json,516,494,94.83483389033476,72.41403863558351,0.0635412340354095,0.04151575268581255,30.634104168803464,31
B49,constraints_only,count_unmatched,True,False,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B49__simple_defect__uniform_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B49__none__uniform_1/result.json,528,494,15.263843228745282,72.41403863558351,0.03434134929832024,0.04151575268581255,5.080276858778876,5
B49,joint_one_shot,count_unmatched,True,False,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B49__simple_defect__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B49__none__uniform_1/result.json,528,494,14.060635754193612,72.41403863558351,0.02967435953931251,0.04151575268581255,4.343704814417408,4
B49,joint_feedback,count_unmatched,True,False,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B49/full/r0_size_1/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B49__none__uniform_1/result.json,528,494,11.15320698945797,72.41403863558351,0.011932119269232714,0.04151575268581255,3.8630204975115103,5
B32,size_only,baseline_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B32__none__allocated_0/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B32__none__uniform_1/result.json,1001,1029,114.4483206853093,113.73665098287493,0.05220633130099937,0.036938481385954,18.489474633724775,14
B32,constraints_only,module_invalid,False,False,False,,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B32__none__uniform_1/result.json,,1029,,113.73665098287493,,0.036938481385954,,
B32,joint_one_shot,module_invalid,False,False,False,,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B32__none__uniform_1/result.json,,1029,,113.73665098287493,,0.036938481385954,,
B32,joint_feedback,module_dominates,True,True,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B32/full/r1_remove_1/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B32__none__uniform_1/result.json,1043,1029,3.2540589598555765,113.73665098287493,0.008887236647356935,0.036938481385954,0.8157573141388402,1
B43,size_only,count_unmatched,True,False,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B43__none__allocated_1/result.json,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B43__none__uniform_0/result.json,523,465,112.69337455340712,127.2140702395064,0.06839104658628674,0.08739782157101843,12.147281739356698,26
B43,constraints_only,module_invalid,False,False,False,,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B43__none__uniform_0/result.json,,465,,127.2140702395064,,0.08739782157101843,,
