model,condition,size,status,coord_is_baseline,coordinator_record,coordinator_valid,coordinator_quads,coordinator_deficit,coordinator_rms,static_record,static_quads,static_deficit,static_rms,within_5_percent,logical_attempts,native_calls
B49,none,uniform,count_unmatched,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B49/full/r0_size_1/result.json,True,528,11.15320698945797,0.011932119269232714,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B49__none__uniform_1/result.json,494,72.41403863558351,0.04151575268581255,False,2,2
B49,none,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B49/full/r0_size_1/result.json,True,528,11.15320698945797,0.011932119269232714,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B49__none__allocated_0/result.json,516,94.83483389033476,0.0635412340354095,True,1,1
B49,all,uniform,static_no_valid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B49/full/r0_size_1/result.json,True,528,11.15320698945797,0.011932119269232714,,,,,False,1,1
B49,all,allocated,static_no_valid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B49/full/r0_size_1/result.json,True,528,11.15320698945797,0.011932119269232714,,,,,False,1,1
B49,simple_defect,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B49/full/r0_size_1/result.json,True,528,11.15320698945797,0.011932119269232714,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B49__simple_defect__uniform_0/result.json,528,15.263843228745282,0.03434134929832024,True,1,0
B49,simple_defect,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B49/full/r0_size_1/result.json,True,528,11.15320698945797,0.011932119269232714,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B49__simple_defect__allocated_0/result.json,528,14.060635754193612,0.02967435953931251,True,1,0
B32,none,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B32/full/r1_remove_1/result.json,True,1043,3.2540589598555765,0.008887236647356935,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B32__none__uniform_1/result.json,1029,113.73665098287493,0.036938481385954,True,2,2
B32,none,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B32/full/r1_remove_1/result.json,True,1043,3.2540589598555765,0.008887236647356935,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B32__none__allocated_0/result.json,1001,114.4483206853093,0.05220633130099937,True,1,1
B32,all,uniform,static_no_valid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B32/full/r1_remove_1/result.json,True,1043,3.2540589598555765,0.008887236647356935,,,,,False,1,1
B32,all,allocated,static_no_valid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B32/full/r1_remove_1/result.json,True,1043,3.2540589598555765,0.008887236647356935,,,,,False,1,1
